Date,Faber,Momentum,Faber_Momentum_5050,Faber_InvVol,Faber_LowVol
2006-02-17,1.1521443997768497,1.1907580003401042,1.1904268535898668,1.1157703893925783,1.0102302856473127
2006-02-21,1.1493997403764307,1.1872469096546725,1.1872538681797964,1.1126227171682157,1.0071109737157247
2006-02-22,1.1556222622973367,1.1928300384110673,1.1932591755982858,1.1181384573608382,1.012184445506108
2006-02-23,1.1527427675402788,1.1851040715075254,1.1879081645565528,1.116732998995004,1.0111376298765533
2006-02-24,1.158954630233837,1.1970929691324732,1.1971174773469782,1.1199680789176216,1.012833879277792
2006-02-27,1.159737626373663,1.1980387337442615,1.1979947589191453,1.119429711455309,1.0119696058973335
2006-02-28,1.1534170993777726,1.1916653587650974,1.191543674925315,1.116684919472044,1.0082236118307626
2006-03-01,1.1643433676706552,1.208463415185344,1.2055855653042085,1.1221401663221926,1.012719816279517
2006-03-02,1.1661436363539714,1.2158420729002324,1.2101981263411763,1.121412933328302,1.0114143139183163
2006-03-03,1.1578547128147156,1.2007874477755736,1.198404724664429,1.1166284757334346,1.0080539981981027
2006-03-06,1.145589114217188,1.1803964819884867,1.1818818924677374,1.107325997179637,1.003435252869962
2006-03-07,1.1301136242892607,1.1566097385395868,1.161990673925195,1.0962330346914475,1.0018696044997557
2006-03-08,1.1283020197385125,1.1497124294781194,1.1575946229122565,1.095847274252595,1.0039836081855782
2006-03-09,1.124641060068987,1.1467571394845624,1.1542288453376826,1.0919871579865847,0.9972502502745322
2006-03-10,1.1353760068335632,1.1544839499578106,1.1636261069715739,1.1027006110733801,1.0067232971165194
2006-03-13,1.1404886928293447,1.1590215264655617,1.168532810554988,1.107725369132521,1.008602353513719
2006-03-14,1.1555203831586507,1.1830777370530723,1.1883602786560592,1.1167497425468214,1.015562251289631
2006-03-15,1.1604867458406716,1.1926287745766848,1.1957108738788622,1.1180169837937624,1.016449190978682
2006-03-16,1.1615617610743008,1.1896884146196969,1.1947907170551801,1.121075332112178,1.0196462012532073
2006-03-17,1.1630782483063782,1.1915224905885529,1.1964916228012428,1.120976247548875,1.0204980177331995
2006-03-20,1.1646127244554427,1.1954521642616809,1.199253933399675,1.1212774285244156,1.0188572421200437
2006-03-21,1.1520966262502033,1.1796932596113698,1.1849052291748319,1.1107672544097358,1.0124503751911051
2006-03-22,1.1582795563854604,1.1853390850522503,1.190920115376733,1.1152881854136745,1.0186230185264282
2006-03-23,1.1524621693938164,1.1792984545431329,1.1848949182373907,1.1116949781343954,1.0171585619743786
2006-03-24,1.1611192876139629,1.1952837377642433,1.1973758636417207,1.1166204267058728,1.018418946919143
2006-03-27,1.1648276480409423,1.2062378113699563,1.2047745649879236,1.1182128989418179,1.0180856804045877
2006-03-28,1.1549497825301185,1.191697863365067,1.1924051000836973,1.1119228855287488,1.013676365766925
2006-03-29,1.171284035874971,1.213820557925785,1.2119050006241574,1.12546003031785,1.0200307017228587
2006-03-30,1.1836360023675003,1.233167357156399,1.227953305176544,1.134541066673471,1.018226190114415
2006-03-31,1.1786500802894513,1.226973674811826,1.2222832563508348,1.1305339456024441,1.0184616291350106
2006-04-03,1.1918559505216664,1.2482317326231966,1.2397190263479467,1.1392831449211622,1.017676745585894
2006-04-04,1.1971660826933959,1.250415814119475,1.2435653089813279,1.1451552668470544,1.0241883013302857
2006-04-05,1.2039550219542046,1.260363721733019,1.2520380435384715,1.1506302390393897,1.027718063549458
2006-04-06,1.205544595153097,1.263795825055258,1.254569287783831,1.1517507724406084,1.0266194349338102
2006-04-07,1.190928157711299,1.2468013386046521,1.2385286651583627,1.1384823389159628,1.0161864999267705
2006-04-10,1.196036206398151,1.2553950545727153,1.2454531197701522,1.1427103258218876,1.0177553988870223
2006-04-11,1.1859952032819108,1.2438363235889576,1.2344915883784238,1.1332819695911187,1.009126454605637
2006-04-12,1.1889240701224548,1.2518650751153233,1.2400001201933724,1.1350512582351222,1.0110089250048238
2006-04-13,1.191075632328014,1.2555852392920903,1.2429645692971198,1.1363156908514889,1.0116637008369125
2006-04-17,1.2038182077366422,1.2798057212764087,1.2616019341003948,1.144835489166729,1.0137948305599682
2006-04-18,1.2284835258183737,1.3090131535469194,1.2889225602198005,1.166724266772529,1.0322020054124705
2006-04-19,1.2425061424321788,1.3331405576583046,1.3081573611062136,1.177237141045052,1.0367410085635838
2006-04-20,1.2268452039415902,1.3015886829169125,1.2844328529311182,1.1679483622212894,1.0351430780213178
2006-04-21,1.2426222536395866,1.3305948888029018,1.3070036042638817,1.177835143146528,1.0386982511323422
2006-04-24,1.230688720548805,1.3055654047864351,1.2884348371378826,1.170873339386039,1.0382866468107288
2006-04-25,1.2306478657532107,1.3085582738895076,1.2898902508041796,1.169062471719389,1.0358375503175663
2006-04-26,1.2429589767128995,1.3305161188259134,1.3071644257701704,1.177084770538223,1.039180557570713
2006-04-27,1.236749726237576,1.312833392765068,1.295213240543008,1.1754932395521236,1.0426088627613963
2006-04-28,1.2513135101642334,1.341451898997702,1.3169565633282454,1.1841514905428456,1.0444362105921898
2006-05-01,1.2488769427375916,1.341982338794456,1.3159347461815762,1.1801736559671918,1.0399557487073923
2006-05-02,1.2681675210795889,1.3681346697938115,1.338920294081202,1.195856680812559,1.0518162831336917
2006-05-03,1.2650280143212393,1.3679745895894195,1.337184631077037,1.191933900095826,1.046731547526504
2006-05-04,1.2765518322667777,1.3851593906295168,1.3516742020571655,1.2007429588442187,1.0526527499731118
2006-05-05,1.2918231779686948,1.4015697090942332,1.3677660237389524,1.2148122219644308,1.0653674154851767
2006-05-08,1.291459254198241,1.4022247429249797,1.3678929825147454,1.2142812781150703,1.0642692519089925
2006-05-09,1.3044484930120885,1.4248571938988197,1.3858111410212754,1.2226703517726225,1.068499948024133
2006-05-10,1.303013513659371,1.4243192323678437,1.3847872894510491,1.2208162610301045,1.0665525244105518
2006-05-11,1.2905030673262063,1.4127519264228423,1.3725163767356199,1.2078766914906578,1.0547340128406213
2006-05-12,1.2740954420232478,1.3951797575428893,1.3552553456723828,1.1922333054100278,1.0410330103485004
2006-05-15,1.247752121325074,1.342069116506257,1.315449235853556,1.1773674499422397,1.0376132639814848
2006-05-16,1.2539524697669213,1.3573761010668377,1.3262192964344608,1.1798334916077002,1.0360910007056219
2006-05-17,1.2251366051047312,1.3295418257309537,1.2973833293448271,1.1523058224075622,1.0360910007056219
2006-05-18,1.213670577203708,1.3100271604726537,1.281790911949749,1.143521078829475,1.0360910007056219
2006-05-19,1.2154229304622768,1.305900771614519,1.2806975417538096,1.1478816381349202,1.0360910007056219
2006-05-22,1.1908290512884208,1.2723749339432253,1.2513007888500605,1.128177395489319,1.0360910007056219
2006-05-23,1.1903283878085331,1.275950312748468,1.2527958251473639,1.125626360731218,1.0360910007056219
