sma_fast,sma_slow,rsi_period,rsi_lower,rsi_upper,macro_gate,total_return,sharpe,max_dd,win_rate,profit_factor,expectancy,total_trades,passes_filters
100,200,14,35,65,payems_only,-43.5697063418751,-1.108350408929381,44.36181746969595,33.064516129032256,0.34689307655677803,-35.136859953125054,124,False
20,200,21,40,60,unrate_only,-30.985998166318296,-1.1089951712471318,32.30947339707196,32.631578947368425,0.3447241071828374,-32.61684017507191,95,False
20,250,21,45,55,unrate_only,-18.944646139168437,-1.1128414160504159,20.335500098405227,31.147540983606557,0.26203708625963673,-31.05679694945657,61,False
100,200,10,30,70,neither,-48.592873189418576,-1.1156736676256092,50.568647680687384,37.57225433526011,0.43112881518353735,-27.910617938477774,174,False
100,200,10,30,70,both,-45.56636763613926,-1.1160963380769258,46.57124764594259,36.94267515923567,0.4006784324924868,-29.023164099451808,157,False
50,150,10,40,60,unrate_only,-27.98871101735287,-1.1168192780223536,29.22983245171253,34.831460674157306,0.2962248445836207,-31.447989907137956,89,False
100,150,14,35,65,payems_only,-45.366519369684525,-1.1281787925513098,46.81654216852065,32.55813953488372,0.366781073485614,-35.16784447262369,129,False
50,200,10,40,60,unrate_only,-28.019543245384863,-1.12897076907483,29.26013328335349,35.294117647058826,0.27967532326012556,-32.964168523982096,85,False
100,250,21,40,60,both,-40.12360676373884,-1.1291876409451989,40.12360676373884,34.50704225352113,0.3888845558777369,-28.25606110122459,142,False
100,200,10,30,70,payems_only,-45.24816134681927,-1.1324581044616098,45.869515247578406,36.241610738255034,0.38428756586537527,-30.367893521355224,149,False
100,200,14,40,60,neither,-43.376345814530524,-1.1415792167764764,44.402719665594894,40.36144578313253,0.39479919683824233,-26.05865894862721,167,False
100,150,14,40,60,both,-41.99380684507644,-1.1417972623140975,42.37881926603524,37.9746835443038,0.39168699413262287,-26.578358762706635,158,False
100,150,14,40,60,payems_only,-41.523132189294834,-1.1522295360086732,42.88600740409458,37.908496732026144,0.38593823761797885,-27.139302084506433,153,False
50,200,21,35,65,both,-46.81897734912172,-1.1550437482871851,48.36720890510753,31.03448275862069,0.3838552991221273,-32.288949895946075,145,False
20,150,14,35,65,unrate_only,-36.055815206738174,-1.1550520743877646,38.88335649081661,30.630630630630627,0.3214866077971476,-32.48271640246675,111,False
50,200,21,35,65,neither,-50.72496464355719,-1.155514148253769,52.3449583319091,29.629629629629626,0.4101246644988684,-31.311706570097076,162,False
20,150,14,45,55,unrate_only,-23.16011702028524,-1.1608129940325689,24.403861597395625,28.57142857142857,0.22808543350443058,-30.078074052318506,77,False
50,150,14,45,55,unrate_only,-22.56848069215693,-1.1613753919715561,22.731320452488955,29.268292682926827,0.2425606961668442,-27.522537429459756,82,False
20,150,14,40,60,unrate_only,-31.00355884547276,-1.169209513336543,32.625216789650345,32.69230769230769,0.31121209041678766,-29.811114274493164,104,False
50,100,21,40,60,payems_only,-50.29561533099114,-1.1721561208041464,52.809772878515325,27.878787878787882,0.3833290729904685,-30.482191109691634,165,False
100,150,14,40,60,neither,-46.07172379269179,-1.1755485097943486,46.07172379269179,40.0,0.3828007057026617,-25.595402107050965,180,False
100,200,21,40,60,payems_only,-42.05089345587011,-1.1771163472236268,43.82438140252648,32.11678832116788,0.3917767366805831,-30.694082814503762,137,False
50,200,14,45,55,unrate_only,-22.737371983405538,-1.1801063736398776,22.899856562570566,29.11392405063291,0.2271647155068005,-28.78148352329825,79,False
100,200,21,40,60,neither,-46.98921368929555,-1.1816492883073688,49.02662301078354,32.467532467532465,0.39414507014726236,-30.306569387328025,155,False
50,100,21,40,60,both,-50.879202324454376,-1.182473483320354,54.136760242972684,28.235294117647058,0.3809446213211104,-29.928942543796666,170,False
20,200,14,35,65,unrate_only,-36.48886364938731,-1.1853125956304469,38.422600286383144,27.927927927927925,0.3113569495584474,-32.87285013458316,111,False
100,150,10,30,70,both,-48.646729034250484,-1.1896141682024421,49.594743583170356,36.41975308641975,0.37971857163648454,-30.028845082870596,162,False
50,100,21,40,60,neither,-54.05656703279582,-1.1922089326151926,55.42433123381238,28.645833333333332,0.4025357197248323,-28.154461996247825,192,False
100,250,21,40,60,neither,-45.53673055030233,-1.196548171629849,45.53673055030233,33.33333333333333,0.3432664849987293,-29.762568987125654,153,False
100,200,10,45,55,unrate_only,-22.087621235088566,-1.197030480105626,22.938228158612656,26.47058823529412,0.18953022731478447,-32.48179593395385,68,False
20,250,14,35,65,unrate_only,-35.971680860723545,-1.1980440569673516,39.18974567176334,29.20353982300885,0.32523644741630814,-31.833345894445635,113,False
100,200,21,40,60,both,-43.47634123904148,-1.1984987675204548,43.47634123904148,32.3943661971831,0.38358887764032495,-30.617141717634823,142,False
50,100,14,30,70,payems_only,-55.89342218417034,-1.202152921424867,57.28938331841225,31.57894736842105,0.3328354341971702,-36.77198827905937,152,False
