Date,Equity
2011-03-25,1.9554032122702445
2011-03-28,1.9478669857513524
2011-03-29,1.9542093356100745
2011-03-30,1.9625858638060178
2011-03-31,1.9700596606083363
2011-04-01,1.9806788415721404
2011-04-04,1.985538837389405
2011-04-05,1.98701307553491
2011-04-06,1.9925259666498523
2011-04-07,1.9938399053573521
2011-04-08,2.003724478209383
2011-04-11,1.9893949535221902
2011-04-12,1.9719853461555379
2011-04-13,1.97829015154033
2011-04-14,1.9858796826443803
2011-04-15,1.9926356971748447
2011-04-18,1.9760498698624194
2011-04-19,1.984262155333609
2011-04-20,2.007888705031862
2011-04-21,2.015812813747501
2011-04-25,2.013883293611135
2011-04-26,2.021148572693303
2011-04-27,2.0328941652998567
2011-04-28,2.03475613548044
2011-04-29,2.0425368350798347
2011-05-02,2.0400473600253206
2011-05-03,2.0256273140669583
2011-05-04,2.010741210562612
2011-05-05,1.9736407339662176
2011-05-06,1.9784917206499368
2011-05-09,1.9988302830603373
2011-05-10,2.0057872409899287
2011-05-11,1.9814575048192942
2011-05-12,1.9823132654135938
2011-05-13,1.9726056794220719
2011-05-16,1.9658108326367985
2011-05-17,1.9676059937513917
2011-05-18,1.9803837618974396
2011-05-19,1.9786758231334953
2011-05-20,1.9775289505310112
2011-05-23,1.9584874003864237
2011-05-24,1.9692047583698755
2011-05-25,1.9756775510818
2011-05-26,1.9826296881910968
2011-05-27,1.9916439080250252
2011-05-31,2.008749121144076
2011-06-01,1.9914475054480354
2011-06-02,1.9903994650230223
2011-06-03,1.9897234184982793
2011-06-06,1.9756238784950682
2011-06-07,1.981700892205657
2011-06-08,1.980675398254414
2011-06-09,1.9880823586347103
2011-06-10,1.9651661871666257
2011-06-13,1.9572131117905895
2011-06-14,1.9718750278855661
2011-06-15,1.9499186945728855
2011-06-16,1.9505859763300935
2011-06-17,1.9530410686020585
2011-06-20,1.9534957485337603
2011-06-21,1.9631582854382243
2011-06-22,1.9573038997175178
2011-06-23,1.9529241345329023
2011-06-24,1.9452671257987313
